產品名稱,媒體別名稱,,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,"實際發稿量
(2021.01-12)"
Colt Plus,無線電視,,0,0,0,0,0,0,0,0,0,0,0,0,0
,有線電視,,0,0,0,0,0,0,0,0,0,0,0,0,0
,報紙,,0,0,0,0,0,0,0,0,0,0,0,0,0
,雜誌,,0,0,0,0,0,0,0,0,0,0,0,0,0
,廣播,,0,0,0,0,0,0,0,0,0,0,0,0,0
,戶外,,0,0,0,0,0,0,0,0,0,0,0,0,0
,數位,關鍵字廣告,0,0,0,0,0,0,0,0,0,0,0,0,0
,,展示型廣告,300000,250000,0,435000,250000,0,0,100000,50000,150000,0,0,1535000
,,口碑/內容操作,370200,55400,476800,599000,55000,82200,523800,401400,268800,382800,671800,0,3887200
,,影音廣告,700000,0,0,0,0,0,0,0,0,0,0,0,700000
,Total,,1370200,305400,476800,1034000,305000,82200,523800,501400,318800,532800,671800,0,6122200
Lancer,無線電視,,0,0,0,0,0,0,0,0,0,0,0,0,0
,有線電視,,0,0,0,0,0,0,0,0,0,0,0,0,0
,報紙,,0,0,0,0,0,0,0,0,0,0,0,0,0
,雜誌,,0,0,0,0,0,0,0,0,0,0,0,0,0
,廣播,,0,0,0,0,0,0,0,0,0,0,0,0,0
,戶外,,0,0,0,0,0,0,0,0,0,0,0,0,0
,數位,關鍵字廣告,0,0,0,0,0,0,0,0,0,0,0,0,0
,,展示型廣告,300000,387000,200000,520000,0,0,0,0,0,0,100000,0,1507000
,,口碑/內容操作,127600,51600,764200,117522,62600,60200,135200,105600,58400,401200,57800,0,1941922
,,影音廣告,200000,0,0,0,0,0,0,0,0,0,0,0,200000
,Total,,627600,438600,964200,637522,62600,60200,135200,105600,58400,401200,157800,0,3648922
Outlander,無線電視,,0,0,0,0,0,0,0,0,106000,125000,225000,0,456000
,有線電視,,0,0,0,0,0,0,0,0,935700,579417,1189900,0,2705017
,報紙,,0,0,0,0,0,0,0,0,0,0,0,0,0
,雜誌,,0,0,0,0,0,0,0,0,0,0,0,0,0
,廣播,,0,0,0,0,0,0,0,0,0,0,0,0,0
,戶外,,0,0,482000,0,0,0,0,0,0,0,0,0,482000
,數位,關鍵字廣告,0,0,0,0,0,0,0,0,0,0,0,0,0
,,展示型廣告,600000,812000,300000,300000,850000,250000,250000,550000,100000,650000,850000,650000,6162000
,,口碑/內容操作,658400,767600,1764800,1865540,1381667,1002602,909400,131600,477200,1835600,1688400,1600000,14082809
,,影音廣告,500000,0,296000,1836000,1200000,1000000,1050000,500000,1000000,100000,0,0,7482000
,Total,,1758400,1579600,2842800,4001540,3431667,2252602,2209400,1181600,2618900,3290017,3953300,2250000,31369826
Eclipse,無線電視,,0,0,0,0,0,0,0,0,0,0,0,0,0
,有線電視,,0,0,0,0,0,0,0,0,0,0,0,0,0
,報紙,,0,0,0,0,0,0,0,0,0,0,0,0,0
,雜誌,,0,0,0,0,0,0,0,0,0,0,0,0,0
,廣播,,0,0,0,0,0,0,0,0,0,0,0,0,0
,戶外,,0,0,0,0,0,0,0,0,0,0,0,0,0
,數位,關鍵字廣告,0,0,0,0,0,0,0,0,0,0,0,0,0
,,展示型廣告,180401,219780,480000,0,0,40000,210000,400000,210000,180000,950000,0,2870181
,,口碑/內容操作,1457600,1300848,1901800,153400,608200,812200,875800,232400,392800,822800,673000,760000,9990848
