產品名稱,媒體別名稱,,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,"實際發稿量
(2021.01-12)"
,,影音廣告,100000,0,770000,0,99869,135000,0,0,0,0,0,0,1104869
,Total,,1738001,1520628,3151800,153400,708069,987200,1085800,632400,602800,1002800,1623000,760000,13965898
Zinger(AS?),無線電視,,0,0,0,380000,0,0,0,0,300000,210000,0,0,890000
,有線電視,,3521750,0,0,3842400,0,0,0,0,2857950,1889250,0,0,12111350
,報紙,,0,0,0,0,0,0,0,0,0,0,0,0,0
,雜誌,,0,0,0,0,0,0,0,0,0,0,0,0,0
,廣播,,0,0,0,0,0,0,0,0,0,0,420821,0,420821
,戶外,,0,0,0,0,0,0,0,0,0,0,0,0,0
,數位,關鍵字廣告,0,0,0,0,0,0,0,0,0,0,0,0,0
,,展示型廣告,0,500000,528000,960000,0,625972,0,1160000,1000000,490000,150000,0,5413972
,,口碑/內容操作,40600,812000,1194800,243600,701000,29200,661400,532400,986800,1911200,1842600,1120000,10075600
,,影音廣告,520000,0,0,0,0,0,0,250000,660000,0,1078378,313884,2822262
,Total,,4082350,1312000,1722800,5426000,701000,655172,661400,1942400,5804750,4500450,3491799,1433884,31734005
商車,無線電視,,0,0,750000,0,0,0,0,0,0,1930000,1945000,630000,5255000
,有線電視,,0,0,0,850000,0,0,0,0,340000,6883100,6338875,2886625,17298600
,報紙,,0,0,0,0,0,0,0,0,0,0,0,0,0
,雜誌,,0,0,0,0,0,0,0,0,0,0,0,0,0
,廣播,,0,0,1179006,0,0,0,494418,0,87852,0,597007,0,2358283
,戶外,,0,0,0,0,0,0,0,0,0,0,0,0,0
,數位,關鍵字廣告,0,0,0,0,0,0,0,0,0,0,0,0,0
,,展示型廣告,0,0,0,0,0,0,490000,280000,170000,240000,0,200000,1380000
,,口碑/內容操作,533800,1600,119600,901000,54200,744000,521600,1004800,1671708,586200,1895189,2633112,10666809
,,影音廣告,0,0,1700000,982800,0,0,100000,694103,530000,1060000,1736288,1016437,7819628
,Total,,533800,1600,3748606,2733800,54200,744000,1606018,1978903,2799560,10699300,12512359,7366174,44778320
全車系,無線電視,,280000,0,0,0,420000,375000,330000,460000,484000,250000,675000,615000,3889000
,有線電視,,2385636,240000,498055,658055,4407476,4055334,3842494,2014800,3748700,1158833,3555700,3700200,30265283
,報紙,,0,0,0,0,0,0,0,0,0,0,0,0,0
,雜誌,,0,0,0,0,0,0,0,0,0,0,0,0,0
,廣播,,0,0,0,55064,0,0,0,0,0,0,0,0,55064
,戶外,,818381,0,0,0,0,1058095,1169524,5714,0,1893333,1175238,28571,6148856
,數位,關鍵字廣告,2100000,2100000,2094190,2100000,2092535,2099572,2098901,2100000,2094734,2100000,2018051,2063911,25061894
,,展示型廣告,430000,4010000,0,0,0,400000,600000,300000,530000,698447,350000,2150000,9468447
,,口碑/內容操作,344587,107060,878772,283725,1294947,1727172,605060,236188,1151924,373148,1050836,1050000,9103419
,,影音廣告,424000,54000,54000,54000,1528923,754000,1154000,54000,1104000,904000,489065,0,6573988
,Total,,6782604,6511060,3525017,3150844,9743881,10469173,9799979,5170702,9113358,7377761,9313890,9607682,90565951
總計,無線電視,,280000,0,750000,380000,420000,375000,330000,460000,890000,2515000,2845000,1245000,10490000
,有線電視,,5907386,240000,498055,5350455,4407476,4055334,3842494,2014800,7882350,10510600,11084475,6586825,62380250
,報紙,,0,0,0,0,0,0,0,0,0,0,0,0,0
,雜誌,,0,0,0,0,0,0,0,0,0,0,0,0,0
,廣播,,0,0,1179006,55064,0,0,494418,0,87852,0,1017828,0,2834168
,戶外,,818381,0,482000,0,0,1058095,1169524,5714,0,1893333,1175238,28571,6630856
,數位,關鍵字廣告,2100000,2100000,2094190,2100000,2092535,2099572,2098901,2100000,2094734,2100000,2018051,2063911,25061894
,,展示型廣告,1810401,6178780,1508000,2215000,1100000,1315972,1550000,2790000,2060000,2408447,2400000,3000000,28336600
,,口碑/內容操作,3532787,3096108,7100772,4163787,4157614,4457574,4232260,2644388,5007632,6312948,7879625,7163112,59748607
,,影音廣告,2444000,54000,2820000,2872800,2828792,1889000,2304000,1498103,3294000,2064000,3303731,1330321,26702747
,Total,,16892955,11668888,16432023,17137106,15006417,15250547,16021597,11513005,21316568,27804328,31723948,21417740,222185122
傳統,,,7005767,240000,2909061,5785519,4827476,5488429,5836436,2480514,8860202,14918933,16122541,7860396,82335274
數位,,,9887188,11428888,13522962,11351587,10178941,9762118,10185161,9032491,12456366,12885395,15601407,13557344,139849848
(商用車)傳統,,,0,0,1929006,850000,0,0,494418,0,427852,8813100,8880882,3516625,24911883
(商用車)數位,,,533800,1600,1819600,1883800,54200,744000,1111600,1978903,2371708,1886200,3631477,3849549,19866437
"(乘用車, 含AS)傳統",,,7005767,240000,980055,4935519,4827476,5488429,5342018,2480514,8432350,6105833,7241659,4343771,57423391
"(乘用車, 含AS)數位",,,9353388,11427288,11703362,9467787,10124741,9018118,9073561,7053588,10084658,10999195,11969930,9707795,119983411
"(乘用車, 不含AS)傳統",,,3484017,240000,980055,713119,4827476,5488429,5342018,2480514,5274400,4006583,6820838,4343771,44001220
"(乘用車, 不含AS)數位",,,8792788,10115288,9980562,8264187,9423741,8362946,8412161,5111188,7437858,8597995,8898952,8273911,101671577
"(乘用車, 不含AS)數位(不含影音)",,,7292788,10115288,8914562,6428187,8123872,7227946,7362161,4611188,6437858,8497995,8898952,8273911,92184708
