Year,CarType,1,2,3,4,5,6,7,8,9,10,11,12,Total
2022,NPZ,325,196,337,371,321,346,472,320,387,319,419,583,"4,396"
2022,SR,76,33,73,53,63,61,83,57,84,62,63,74,782
2022,RE,150,75,172,183,193,184,245,123,183,159,171,183,"2,021"
2022,AS ,604,345,533,441,413,493,573,424,424,350,547,492,"5,639"
2022,ASP,96,61,78,94,99,83,74,67,69,41,57,63,882
2022,DE ,230,158,298,252,190,206,236,447,252,283,402,231,"3,185"
2022,DET ,547,398,551,486,492,465,521,442,445,419,379,425,"5,570"
2022,JDP,"1,191",713,"1,040",994,881,850,"1,084",833,"1,019",835,686,594,"10,720"
2022,JDV,446,282,471,405,308,393,438,311,454,418,432,333,"4,691"
2022,CT,0,0,0,0,2,2,0,0,16,47,88,77,232
