Year,Month,Model,NOI,Category,CarType
2020,11,CP,3,商用車,菱利
2020,12,CP,1,商用車,菱利
2021,1,CP,1,商用車,菱利
2021,2,CP,2,商用車,菱利
2021,3,CP,3,商用車,菱利
2021,4,CP,2,商用車,菱利
2021,6,CP,1,商用車,菱利
2021,7,CP,4,商用車,菱利
2021,8,CP,7,商用車,菱利
2021,9,CP,4,商用車,菱利
2021,10,CP,1,商用車,菱利
2022,9,CT,2,商用車,中華堅兵
2022,10,CT,219,商用車,中華堅兵
2022,11,CT,207,商用車,中華堅兵
2022,12,CT,168,商用車,中華堅兵
2018,1,DE,179,商用車,DELICA(廂車)
2018,2,DE,113,商用車,DELICA(廂車)
2018,3,DE,252,商用車,DELICA(廂車)
2018,4,DE,209,商用車,DELICA(廂車)
2018,5,DE,211,商用車,DELICA(廂車)
2018,6,DE,222,商用車,DELICA(廂車)
2018,7,DE,211,商用車,DELICA(廂車)
2018,8,DE,219,商用車,DELICA(廂車)
2018,9,DE,197,商用車,DELICA(廂車)
2018,10,DE,174,商用車,DELICA(廂車)
2018,11,DE,158,商用車,DELICA(廂車)
2018,12,DE,173,商用車,DELICA(廂車)
2019,1,DE,165,商用車,DELICA(廂車)
2019,2,DE,140,商用車,DELICA(廂車)
2019,3,DE,172,商用車,DELICA(廂車)
2019,4,DE,147,商用車,DELICA(廂車)
2019,5,DE,149,商用車,DELICA(廂車)
2019,6,DE,177,商用車,DELICA(廂車)
2019,7,DE,169,商用車,DELICA(廂車)
2019,8,DE,128,商用車,DELICA(廂車)
2019,9,DE,399,商用車,DELICA(廂車)
2019,10,DE,360,商用車,DELICA(廂車)
2019,11,DE,246,商用車,DELICA(廂車)
2019,12,DE,295,商用車,DELICA(廂車)
2020,1,DE,223,商用車,DELICA(廂車)
2020,2,DE,299,商用車,DELICA(廂車)
2020,3,DE,345,商用車,DELICA(廂車)
2020,4,DE,288,商用車,DELICA(廂車)
2020,5,DE,250,商用車,DELICA(廂車)
2020,6,DE,289,商用車,DELICA(廂車)
2020,7,DE,363,商用車,DELICA(廂車)
2020,8,DE,244,商用車,DELICA(廂車)
2020,9,DE,348,商用車,DELICA(廂車)
2020,10,DE,247,商用車,DELICA(廂車)
2020,11,DE,250,商用車,DELICA(廂車)
2020,12,DE,333,商用車,DELICA(廂車)
2021,1,DE,272,商用車,DELICA(廂車)
2021,2,DE,232,商用車,DELICA(廂車)
2021,3,DE,310,商用車,DELICA(廂車)
2021,4,DE,260,商用車,DELICA(廂車)
2021,5,DE,245,商用車,DELICA(廂車)
2021,6,DE,199,商用車,DELICA(廂車)
2021,7,DE,248,商用車,DELICA(廂車)
2021,8,DE,263,商用車,DELICA(廂車)
2021,9,DE,277,商用車,DELICA(廂車)
2021,10,DE,285,商用車,DELICA(廂車)
2021,11,DE,281,商用車,DELICA(廂車)
2021,12,DE,297,商用車,DELICA(廂車)
2022,1,DE,183,商用車,DELICA(廂車)
2022,2,DE,241,商用車,DELICA(廂車)
2022,3,DE,414,商用車,DELICA(廂車)
2022,4,DE,498,商用車,DELICA(廂車)
2022,5,DE,274,商用車,DELICA(廂車)
2022,6,DE,304,商用車,DELICA(廂車)
2022,7,DE,263,商用車,DELICA(廂車)
2022,8,DE,295,商用車,DELICA(廂車)
2022,9,DE,308,商用車,DELICA(廂車)
2022,10,DE,289,商用車,DELICA(廂車)
2022,11,DE,257,商用車,DELICA(廂車)
2022,12,DE,321,商用車,DELICA(廂車)
2018,1,DET,726,商用車,DELICA(貨車)
2018,2,DET,391,商用車,DELICA(貨車)
2018,3,DET,891,商用車,DELICA(貨車)
2018,4,DET,580,商用車,DELICA(貨車)
2018,5,DET,593,商用車,DELICA(貨車)
2018,6,DET,582,商用車,DELICA(貨車)
2018,7,DET,717,商用車,DELICA(貨車)
2018,8,DET,493,商用車,DELICA(貨車)
2018,9,DET,645,商用車,DELICA(貨車)
2018,10,DET,603,商用車,DELICA(貨車)
2018,11,DET,537,商用車,DELICA(貨車)
2018,12,DET,543,商用車,DELICA(貨車)
2019,1,DET,572,商用車,DELICA(貨車)
2019,2,DET,467,商用車,DELICA(貨車)
2019,3,DET,703,商用車,DELICA(貨車)
2019,4,DET,672,商用車,DELICA(貨車)
2019,5,DET,609,商用車,DELICA(貨車)
2019,6,DET,518,商用車,DELICA(貨車)
2019,7,DET,556,商用車,DELICA(貨車)
2019,8,DET,525,商用車,DELICA(貨車)
2019,9,DET,870,商用車,DELICA(貨車)
2019,10,DET,808,商用車,DELICA(貨車)
2019,11,DET,684,商用車,DELICA(貨車)
2019,12,DET,713,商用車,DELICA(貨車)
2020,1,DET,395,商用車,DELICA(貨車)
2020,2,DET,667,商用車,DELICA(貨車)
2020,3,DET,731,商用車,DELICA(貨車)
2020,4,DET,729,商用車,DELICA(貨車)
2020,5,DET,796,商用車,DELICA(貨車)
2020,6,DET,866,商用車,DELICA(貨車)
2020,7,DET,918,商用車,DELICA(貨車)
2020,8,DET,679,商用車,DELICA(貨車)
2020,9,DET,748,商用車,DELICA(貨車)
2020,10,DET,719,商用車,DELICA(貨車)
2020,11,DET,839,商用車,DELICA(貨車)
2020,12,DET,1037,商用車,DELICA(貨車)
2021,1,DET,606,商用車,DELICA(貨車)
2021,2,DET,494,商用車,DELICA(貨車)
2021,3,DET,767,商用車,DELICA(貨車)
2021,4,DET,672,商用車,DELICA(貨車)
2021,5,DET,645,商用車,DELICA(貨車)
2021,6,DET,565,商用車,DELICA(貨車)
2021,7,DET,739,商用車,DELICA(貨車)
2021,8,DET,697,商用車,DELICA(貨車)
2021,9,DET,680,商用車,DELICA(貨車)
2021,10,DET,733,商用車,DELICA(貨車)
2021,11,DET,688,商用車,DELICA(貨車)
2021,12,DET,795,商用車,DELICA(貨車)
2022,1,DET,473,商用車,DELICA(貨車)
2022,2,DET,539,商用車,DELICA(貨車)
2022,3,DET,725,商用車,DELICA(貨車)
2022,4,DET,624,商用車,DELICA(貨車)
2022,5,DET,652,商用車,DELICA(貨車)
2022,6,DET,674,商用車,DELICA(貨車)
2022,7,DET,664,商用車,DELICA(貨車)
2022,8,DET,571,商用車,DELICA(貨車)
2022,9,DET,559,商用車,DELICA(貨車)
2022,10,DET,474,商用車,DELICA(貨車)
2022,11,DET,517,商用車,DELICA(貨車)
2022,12,DET,612,商用車,DELICA(貨車)
2019,1,ECP,1,,
2020,1,ECP,2,,
2020,2,ECP,1,,
2020,3,ECP,2,,
2020,8,ECP,1,,
2020,9,ECP,5,,
2020,10,ECP,6,,
2020,11,ECP,3,,
2020,12,ECP,2,,
2021,1,ECP,5,,
2021,2,ECP,3,,
2021,3,ECP,4,,
2021,4,ECP,6,,
2021,5,ECP,1,,
2021,6,ECP,5,,
2021,7,ECP,2,,
2021,8,ECP,4,,
2021,9,ECP,3,,
2021,10,ECP,3,,
2021,11,ECP,1,,
2021,12,ECP,2,,
2022,1,ECP,2,,
2021,6,EJD,6,,
2021,7,EJD,13,,
2021,8,EJD,12,,
2021,9,EJD,6,,
2021,10,EJD,9,,
2021,11,EJD,9,,
2021,12,EJD,6,,
2022,1,EJD,9,,
2022,2,EJD,7,,
2022,3,EJD,18,,
2022,4,EJD,10,,
2022,5,EJD,23,,
2022,6,EJD,27,,
2022,7,EJD,46,,
2022,8,EJD,40,,
2022,9,EJD,68,,
2022,10,EJD,63,,
2022,11,EJD,41,,
2022,12,EJD,14,,
2018,1,GS41,4,乘用車,LANCER
2018,5,GS41,2,乘用車,LANCER
2018,6,GS41,1,乘用車,LANCER
2018,7,GS41,1,乘用車,LANCER
2018,8,GS41,2,乘用車,LANCER
2018,9,GS41,2,乘用車,LANCER
2018,10,GS41,3,乘用車,LANCER
2018,11,GS41,1,乘用車,LANCER
2018,3,GS44S,1,,
2018,1,GS45X,1,乘用車,OUTLANDER
2018,2,GS45X,1,乘用車,OUTLANDER
2018,4,GS45X,1,乘用車,OUTLANDER
2018,5,GS45X,1,乘用車,OUTLANDER
2018,8,GS45X,1,乘用車,OUTLANDER
2018,10,GS45X,1,乘用車,OUTLANDER
2018,11,GS45X,1,乘用車,OUTLANDER
2022,4,GS45X,1,乘用車,OUTLANDER
2018,1,JD,2,商用車,A190
2018,3,JD,2,商用車,A190
2018,4,JD,1,商用車,A190
2018,7,JD,4,商用車,A190
2018,8,JD,3,商用車,A190
2018,9,JD,27,商用車,A190
2018,10,JD,2469,商用車,A190
2018,11,JD,1583,商用車,A190
2018,12,JD,1529,商用車,A190
2019,1,JD,1610,商用車,A190
2019,2,JD,1339,商用車,A190
2019,3,JD,2058,商用車,A190
2019,4,JD,1681,商用車,A190
2019,5,JD,1572,商用車,A190
2019,6,JD,1466,商用車,A190
2019,7,JD,1564,商用車,A190
2019,8,JDP,1301,商用車,A190
2019,9,JDP,1340,商用車,A190
2019,10,JDP,1102,商用車,A190
2019,11,JDP,1127,商用車,A190
2019,12,JDP,1345,商用車,A190
2020,1,JDP,827,商用車,A190
2020,2,JDP,1423,商用車,A190
2020,3,JDP,1262,商用車,A190
2020,4,JDP,1292,商用車,A190
2020,5,JDP,1336,商用車,A190
2020,6,JDP,1401,商用車,A190
2020,7,JDP,1628,商用車,A190
2020,8,JDP,1181,商用車,A190
2020,9,JDP,1547,商用車,A190
2020,10,JDP,1466,商用車,A190
2020,11,JDP,1658,商用車,A190
2020,12,JDP,2177,商用車,A190
2021,1,JDP,1229,商用車,A190
2021,2,JDP,771,商用車,A190
2021,3,JDP,1590,商用車,A190
2021,4,JDP,1207,商用車,A190
2021,5,JDP,1132,商用車,A190
2021,6,JDP,1146,商用車,A190
2021,7,JDP,1366,商用車,A190
2021,8,JDP,1202,商用車,A190
2021,9,JDP,1332,商用車,A190
2021,10,JDP,1266,商用車,A190
2021,11,JDP,1296,商用車,A190
2021,12,JDP,1396,商用車,A190
2022,1,JDP,1094,商用車,A190
2022,2,JDP,1122,商用車,A190
2022,3,JDP,1609,商用車,A190
2022,4,JDP,1351,商用車,A190
2022,5,JDP,1191,商用車,A190
2022,6,JDP,1202,商用車,A190
2022,7,JDP,1216,商用車,A190
2022,8,JDP,1248,商用車,A190
2022,9,JDP,925,商用車,A190
2022,10,JDP,893,商用車,A190
2022,11,JDP,799,商用車,A190
2022,12,JDP,1012,商用車,A190
2019,8,JDV,3,商用車,A180
2019,9,JDV,303,商用車,A180
2019,10,JDV,345,商用車,A180
2019,11,JDV,340,商用車,A180
2019,12,JDV,345,商用車,A180
2020,1,JDV,262,商用車,A180
2020,2,JDV,378,商用車,A180
2020,3,JDV,404,商用車,A180
2020,4,JDV,403,商用車,A180
2020,5,JDV,420,商用車,A180
2020,6,JDV,499,商用車,A180
2020,7,JDV,502,商用車,A180
2020,8,JDV,388,商用車,A180
2020,9,JDV,464,商用車,A180
2020,10,JDV,458,商用車,A180
2020,11,JDV,505,商用車,A180
2020,12,JDV,619,商用車,A180
2021,1,JDV,415,商用車,A180
2021,2,JDV,319,商用車,A180
2021,3,JDV,523,商用車,A180
2021,4,JDV,407,商用車,A180
2021,5,JDV,416,商用車,A180
2021,6,JDV,327,商用車,A180
2021,7,JDV,461,商用車,A180
2021,8,JDV,479,商用車,A180
2021,9,JDV,447,商用車,A180
