Year,Month,Model,NOI,Category,CarType
2018,12,SR,346,乘用車,LANCER
2019,1,SR,316,乘用車,LANCER
2019,2,SR,227,乘用車,LANCER
2019,3,SR,251,乘用車,LANCER
2019,4,SR,255,乘用車,LANCER
2019,5,SR,501,乘用車,LANCER
2019,6,SR,434,乘用車,LANCER
2019,7,SR,361,乘用車,LANCER
2019,8,SR,364,乘用車,LANCER
2019,9,SR,494,乘用車,LANCER
2019,10,SR,411,乘用車,LANCER
2019,11,SR,397,乘用車,LANCER
2019,12,SR,475,乘用車,LANCER
2020,1,SR,320,乘用車,LANCER
2020,2,SR,301,乘用車,LANCER
2020,3,SR,322,乘用車,LANCER
2020,4,SR,348,乘用車,LANCER
2020,5,SR,392,乘用車,LANCER
2020,6,SR,420,乘用車,LANCER
2020,7,SR,396,乘用車,LANCER
2020,8,SR,294,乘用車,LANCER
2020,9,SR,192,乘用車,LANCER
2020,10,SR,285,乘用車,LANCER
2020,11,SR,312,乘用車,LANCER
2020,12,SR,331,乘用車,LANCER
2021,1,SR,387,乘用車,LANCER
2021,2,SR,260,乘用車,LANCER
2021,3,SR,250,乘用車,LANCER
2021,4,SR,207,乘用車,LANCER
2021,5,SR,179,乘用車,LANCER
2021,6,SR,157,乘用車,LANCER
2021,7,SR,167,乘用車,LANCER
2021,8,SR,191,乘用車,LANCER
2021,9,SR,205,乘用車,LANCER
2021,10,SR,215,乘用車,LANCER
2021,11,SR,234,乘用車,LANCER
2021,12,SR,276,乘用車,LANCER
2022,1,SR,238,乘用車,LANCER
2022,2,SR,134,乘用車,LANCER
2022,3,SR,151,乘用車,LANCER
2022,4,SR,160,乘用車,LANCER
2022,5,SR,150,乘用車,LANCER
2022,6,SR,142,乘用車,LANCER
2022,7,SR,185,乘用車,LANCER
2022,8,SR,98,乘用車,LANCER
2022,9,SR,165,乘用車,LANCER
2022,10,SR,115,乘用車,LANCER
2022,11,SR,151,乘用車,LANCER
2022,12,SR,196,乘用車,LANCER
2018,2,ZC,1,,
2018,3,ZC,1,,
2018,4,ZC,2,,
2018,8,ZC,1,,
